product_id,sku,product_name,category,brand,supplier,supplier_email,supplier_phone,cost_price,selling_price,current_stock,minimum_stock,maximum_stock,reorder_level,batch_number,manufacturing_date,expiry_date,warehouse,daily_sales,weekly_sales,monthly_sales,yearly_sales,today_sales,today_revenue,today_profit,profit_margin,last_purchase_date,last_sale_date,customer_rating,sales_velocity,is_fast_moving,is_slow_moving,recommended_reorder_qty,recommended_not_to_reorder,supplier_rank,growth_score
30,SKU-BEV-0030,Tea,Beverages,Bisleri,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,97.35,132.1,69,46,233,85,BATCH-260328-0030,2026-03-28,2026-11-01,Store Backroom,62,453,2048,23353,71,9379.1,2467.25,26.31,2026-07-02,2026-07-15,4.1,0.8986,0,0,0,0,3,100
31,SKU-BEV-0031,Mineral Water,Beverages,Real,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,281.2,388.3,69,35,281,57,BATCH-260627-0031,2026-06-27,2027-04-29,Warehouse A - Main,86,639,2491,33445,113,43877.9,12102.3,27.58,2026-07-15,2026-07-17,4.1,1.2464,0,0,0,0,5,100
32,SKU-FRU-0032,Orange,Fruits,Farm Fresh,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,21.48,29.92,38,20,304,34,BATCH-260424-0032,2026-04-24,2026-04-28,Warehouse C - Dry Goods,43,299,1471,14681,51,1525.92,430.44,28.21,2026-06-19,2026-07-16,4.7,1.1316,0,0,0,0,5,100
33,SKU-CLE-0033,Detergent Powder,Cleaning Products,Lizol,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,190.93,257.34,24,54,163,83,BATCH-260327-0033,2026-03-27,2027-05-17,Warehouse A - Main,70,514,2058,21446,79,20329.86,5246.39,25.81,2026-07-02,2026-07-17,4.4,2.9167,1,0,139,0,1,100
34,SKU-PER-0034,Toothpaste,Personal Care,Head & Shoulders,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,115.28,144.01,71,35,270,58,BATCH-260616-0034,2026-06-16,2028-02-25,Store Backroom,1,6,26,419,1,144.01,28.73,19.95,2026-06-17,2026-07-15,3.5,0.0141,0,0,0,0,4,42.0
35,SKU-DAI-0035,Paneer,Dairy,Britannia,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,58.34,81.07,52,49,222,80,BATCH-260528-0035,2026-05-28,2026-06-15,Warehouse C - Dry Goods,99,757,3139,35511,79,6404.53,1795.67,28.04,2026-07-13,2026-07-17,3.9,1.9038,0,0,0,0,3,100
36,SKU-BAK-0036,Buns,Bakery,Harvest Gold,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,78.57,103.51,132,37,139,65,BATCH-260408-0036,2026-04-08,2026-04-14,Warehouse B - Cold Storage,17,128,547,7031,23,2380.73,573.62,24.09,2026-06-27,2026-07-16,3.6,0.1288,0,1,0,1,2,100
37,SKU-FRO-0037,Frozen Paratha,Frozen Foods,Kwality Walls,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,47.21,61.76,60,22,201,57,BATCH-260508-0037,2026-05-08,2027-04-17,Warehouse C - Dry Goods,24,161,773,7623,15,926.4,218.25,23.56,2026-07-05,2026-07-15,4.1,0.4,0,0,0,0,3,100
38,SKU-OIL-0038,Olive Oil,Oil & Ghee,Dhara,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,290.87,351.53,103,41,170,65,BATCH-260330-0038,2026-03-30,2027-02-15,Warehouse A - Main,18,137,598,7159,26,9139.78,1577.16,17.26,2026-07-05,2026-07-17,4.6,0.1748,0,1,0,1,1,100
39,SKU-VEG-0039,Capsicum,Vegetables,Farm Fresh,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,38.96,52.39,125,36,285,58,BATCH-260708-0039,2026-07-08,2026-07-18,Warehouse A - Main,43,324,1313,18301,31,1624.09,416.33,25.63,2026-06-17,2026-07-15,3.7,0.344,0,1,0,1,4,100
40,SKU-BEV-0040,Mineral Water,Beverages,Nescafe,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,105.22,133.4,58,26,186,64,BATCH-260414-0040,2026-04-14,2026-11-19,Warehouse C - Dry Goods,48,366,1524,17801,52,6936.8,1465.36,21.12,2026-06-18,2026-07-16,4.4,0.8276,0,0,0,0,4,100
41,SKU-VEG-0041,Tomato,Vegetables,Farm Fresh,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,59.87,70.96,117,48,208,85,BATCH-260402-0041,2026-04-02,2026-04-12,Warehouse A - Main,5,31,139,2166,7,496.72,77.63,15.63,2026-07-14,2026-07-15,3.6,0.0427,0,0,0,0,5,72.4
42,SKU-DAI-0042,Butter,Dairy,Vriddhi Farms,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,30.83,35.69,128,56,208,68,BATCH-260501-0042,2026-05-01,2026-05-04,Warehouse B - Cold Storage,82,609,2262,33214,105,3747.45,510.3,13.62,2026-07-08,2026-07-17,5.0,0.6406,0,1,0,1,5,100
43,SKU-BAK-0043,Muffins,Bakery,Harvest Gold,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,57.97,65.37,58,20,211,55,BATCH-260531-0043,2026-05-31,2026-06-04,Warehouse C - Dry Goods,49,337,1299,14762,46,3007.02,340.4,11.32,2026-07-02,2026-07-15,3.6,0.8448,0,0,0,0,5,100
44,SKU-CLE-0044,Toilet Cleaner,Cleaning Products,Surf Excel,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,175.1,197.75,72,50,252,73,BATCH-260708-0044,2026-07-08,2027-09-10,Store Backroom,26,196,680,7898,28,5537.0,634.2,11.45,2026-07-08,2026-07-15,4.3,0.3611,0,0,0,0,5,100
45,SKU-STA-0045,Sugar,Staples,India Gate,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,168.56,211.73,49,58,268,71,BATCH-260525-0045,2026-05-25,2027-02-15,Warehouse C - Dry Goods,7,49,233,2483,9,1905.57,388.53,20.39,2026-06-20,2026-07-16,3.9,0.1429,0,0,0,0,1,100
46,SKU-BEV-0046,Juice,Beverages,Bisleri,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,91.37,128.47,97,50,167,62,BATCH-260506-0046,2026-05-06,2027-03-25,Store Backroom,1,7,32,373,1,128.47,37.1,28.88,2026-07-06,2026-07-15,3.4,0.0103,0,1,0,1,3,42.9
47,SKU-OIL-0047,Sunflower Oil,Oil & Ghee,Patanjali,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,34.4,41.5,40,39,229,52,BATCH-260504-0047,2026-05-04,2026-12-27,Warehouse A - Main,19,122,629,6567,23,954.5,163.3,17.11,2026-06-21,2026-07-16,4.7,0.475,0,0,0,0,5,100
48,SKU-DAI-0048,Cheese,Dairy,Mother Dairy,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,75.39,103.2,62,37,144,52,BATCH-260708-0048,2026-07-08,2026-07-15,Warehouse B - Cold Storage,31,210,841,9700,35,3612.0,973.35,26.95,2026-06-23,2026-07-15,4.9,0.5,0,0,0,0,1,100
49,SKU-BAK-0049,Bread,Bakery,Local Bakery,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,42.29,51.69,102,43,222,76,BATCH-260523-0049,2026-05-23,2026-06-02,Warehouse A - Main,1,7,25,303,0,0.0,0.0,18.19,2026-06-27,2026-07-16,3.9,0.0098,0,0,0,0,2,44.1
50,SKU-PER-0050,Hand Wash,Personal Care,Lux,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,130.28,156.98,52,57,281,83,BATCH-260619-0050,2026-06-19,2027-08-28,Store Backroom,7,47,216,2051,5,784.9,133.5,17.01,2026-06-22,2026-07-16,3.7,0.1346,0,0,0,0,1,100
51,SKU-STA-0051,Moong Dal,Staples,Fortune,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,56.17,71.88,125,34,262,61,BATCH-260504-0051,2026-05-04,2027-02-17,Store Backroom,51,324,1309,21750,69,4959.72,1083.99,21.86,2026-06-28,2026-07-16,4.5,0.408,0,1,0,1,4,100
52,SKU-BEV-0052,Soft Drinks,Beverages,Nescafe,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,290.54,340.39,84,59,276,95,BATCH-260327-0052,2026-03-27,2026-12-11,Warehouse A - Main,61,393,1794,21378,35,11913.65,1744.75,14.64,2026-06-23,2026-07-16,3.6,0.7262,0,0,0,0,2,100
53,SKU-VEG-0053,Spinach,Vegetables,Farm Fresh,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,48.15,67.01,146,42,231,75,BATCH-260409-0053,2026-04-09,2026-04-19,Warehouse C - Dry Goods,42,274,1128,16919,24,1608.24,452.64,28.15,2026-07-02,2026-07-15,4.6,0.2877,0,1,0,1,4,100
54,SKU-PER-0054,Deodorant,Personal Care,Colgate,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,106.39,133.19,65,50,263,80,BATCH-260709-0054,2026-07-09,2028-01-13,Store Backroom,30,191,901,10119,28,3729.32,750.4,20.12,2026-06-20,2026-07-16,3.3,0.4615,0,0,0,0,1,100
55,SKU-PER-0055,Face Wash,Personal Care,Nivea,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,161.87,227.63,119,22,237,61,BATCH-260603-0055,2026-06-03,2028-06-02,Store Backroom,17,110,442,5220,23,5235.49,1512.48,28.89,2026-07-14,2026-07-15,4.4,0.1429,0,1,0,1,1,100
56,SKU-STA-0056,Wheat Flour,Staples,Aashirvaad,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,166.74,217.25,76,43,238,82,BATCH-260708-0056,2026-07-08,2027-03-29,Warehouse B - Cold Storage,40,270,1235,16289,45,9776.25,2272.95,23.25,2026-07-13,2026-07-15,4.4,0.5263,0,0,0,0,3,100
57,SKU-STA-0057,Rice,Staples,India Gate,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,42.82,56.48,92,42,221,82,BATCH-260630-0057,2026-06-30,2027-06-16,Store Backroom,41,263,1251,15823,33,1863.84,450.78,24.19,2026-06-24,2026-07-15,5.0,0.4457,0,0,0,0,5,100
58,SKU-CLE-0058,Dish Wash Liquid,Cleaning Products,Lizol,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,115.98,142.51,93,31,185,51,BATCH-260704-0058,2026-07-04,2028-03-19,Warehouse C - Dry Goods,42,277,1122,12737,56,7980.56,1485.68,18.62,2026-06-22,2026-07-15,4.7,0.4516,0,1,0,1,5,100
59,SKU-OIL-0059,Ghee,Oil & Ghee,Fortune,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,56.69,69.9,72,30,176,66,BATCH-260429-0059,2026-04-29,2027-01-06,Warehouse C - Dry Goods,44,279,1266,17470,64,4473.6,845.44,18.9,2026-06-22,2026-07-15,4.6,0.6111,0,0,0,0,2,100
60,SKU-VEG-0060,Potato,Vegetables,Local Produce,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,73.76,86.9,97,56,268,80,BATCH-260327-0060,2026-03-27,2026-04-03,Warehouse A - Main,18,123,485,5780,19,1651.1,249.66,15.12,2026-07-15,2026-07-15,4.1,0.1856,0,0,0,0,3,100
61,SKU-BEV-0061,Coffee,Beverages,Tata Tea,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,256.85,353.26,69,38,159,72,BATCH-260524-0061,2026-05-24,2026-12-03,Warehouse C - Dry Goods,1,7,32,421,1,353.26,96.41,27.29,2026-07-04,2026-07-15,3.9,0.0145,0,0,0,0,4,52.7
62,SKU-BEV-0062,Coffee,Beverages,Nescafe,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,27.89,39.03,20,41,178,55,BATCH-260323-0062,2026-03-23,2026-10-09,Store Backroom,35,261,1131,12617,39,1522.17,434.46,28.54,2026-07-16,2026-07-16,3.6,1.75,1,0,158,0,2,100
63,SKU-BAK-0063,Rusk,Bakery,Britannia,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,65.45,77.97,54,27,139,44,BATCH-260628-0063,2026-06-28,2026-07-05,Warehouse B - Cold Storage,32,228,820,11751,23,1793.31,287.96,16.06,2026-07-03,2026-07-17,4.3,0.5926,0,0,0,0,2,100
64,SKU-DAI-0064,Curd,Dairy,Britannia,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,58.43,74.62,83,43,160,83,BATCH-260530-0064,2026-05-30,2026-06-10,Warehouse A - Main,51,360,1479,18392,57,4253.34,922.83,21.7,2026-06-23,2026-07-17,3.8,0.6145,0,0,0,0,1,100
65,SKU-FRU-0065,Papaya,Fruits,Farm Fresh,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,62.79,76.59,54,22,212,49,BATCH-260519-0065,2026-05-19,2026-05-22,Warehouse C - Dry Goods,71,494,1926,22129,86,6586.74,1186.8,18.02,2026-07-07,2026-07-17,3.3,1.3148,0,0,0,0,2,100
66,SKU-PER-0066,Body Lotion,Personal Care,Head & Shoulders,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,148.23,210.0,21,54,275,72,BATCH-260612-0066,2026-06-12,2027-08-14,Store Backroom,5,33,166,1494,5,1050.0,308.85,29.41,2026-06-21,2026-07-16,4.0,0.2381,1,0,254,0,4,100
67,SKU-STA-0067,Chana Dal,Staples,India Gate,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,292.64,371.32,73,51,245,90,BATCH-260703-0067,2026-07-03,2027-01-19,Store Backroom,38,262,1309,12097,30,11139.6,2360.4,21.19,2026-07-06,2026-07-15,3.7,0.5205,0,0,0,0,4,100
68,SKU-DAI-0068,Cheese,Dairy,Amul,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,59.83,73.32,113,22,308,59,BATCH-260526-0068,2026-05-26,2026-06-09,Store Backroom,51,366,1663,15319,59,4325.88,795.91,18.4,2026-06-30,2026-07-15,4.4,0.4513,0,1,0,1,1,100
69,SKU-FRU-0069,Watermelon,Fruits,Farm Fresh,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,23.2,27.63,98,43,235,65,BATCH-260606-0069,2026-06-06,2026-06-19,Store Backroom,53,366,1388,16541,45,1243.35,199.35,16.03,2026-07-08,2026-07-17,4.9,0.5408,0,1,0,1,1,100
70,SKU-VEG-0070,Potato,Vegetables,Vriddhi Farms,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,40.15,51.73,41,36,334,54,BATCH-260707-0070,2026-07-07,2026-07-17,Warehouse C - Dry Goods,65,472,2241,20879,41,2120.93,474.78,22.39,2026-07-11,2026-07-15,4.0,1.5854,0,0,0,0,1,100
71,SKU-FRU-0071,Orange,Fruits,Local Produce,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,37.58,42.82,66,54,228,92,BATCH-260616-0071,2026-06-16,2026-06-26,Warehouse B - Cold Storage,27,183,742,11767,34,1455.88,178.16,12.24,2026-07-16,2026-07-16,4.2,0.4091,0,0,0,0,3,100
72,SKU-DAI-0072,Yogurt,Dairy,Britannia,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,72.48,82.61,72,45,328,78,BATCH-260518-0072,2026-05-18,2026-06-06,Warehouse B - Cold Storage,3,21,79,1014,1,82.61,10.13,12.26,2026-07-05,2026-07-17,4.8,0.0417,0,0,0,0,5,74.6
73,SKU-BAK-0073,Buns,Bakery,Britannia,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,43.12,60.08,35,23,154,49,BATCH-260426-0073,2026-04-26,2026-05-03,Warehouse B - Cold Storage,21,159,704,8725,15,901.2,254.4,28.23,2026-07-12,2026-07-15,3.7,0.6,0,0,0,0,5,100
74,SKU-CLE-0074,Floor Cleaner,Cleaning Products,Lizol,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,237.74,277.27,123,59,343,97,BATCH-260425-0074,2026-04-25,2028-02-14,Warehouse A - Main,46,326,1514,13622,25,6931.75,988.25,14.26,2026-07-08,2026-07-15,3.6,0.374,0,0,0,0,5,100
75,SKU-OIL-0075,Mustard Oil,Oil & Ghee,Sundrop,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,268.92,345.21,110,39,262,56,BATCH-260430-0075,2026-04-30,2026-12-02,Warehouse B - Cold Storage,23,146,677,8342,16,5523.36,1220.64,22.1,2026-07-06,2026-07-15,3.8,0.2091,0,1,0,1,3,100
76,SKU-OIL-0076,Groundnut Oil,Oil & Ghee,Sundrop,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,164.19,189.12,38,35,254,48,BATCH-260615-0076,2026-06-15,2027-01-21,Warehouse B - Cold Storage,30,193,843,10442,33,6240.96,822.69,13.18,2026-06-20,2026-07-16,4.9,0.7895,0,0,0,0,3,100
77,SKU-BEV-0077,Soft Drinks,Beverages,Real,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,298.87,376.59,10,39,266,49,BATCH-260421-0077,2026-04-21,2027-02-15,Warehouse C - Dry Goods,23,146,644,8722,30,11297.7,2331.6,20.64,2026-07-07,2026-07-15,3.2,2.3,1,0,256,0,1,100
